,animal,sessionid,trialnumber,trial_block,lotterymag,lotteryprob,surebetmag,rewardreceived,lotterychoice,lotteryoutcome,musdose,region,choiceout,deltaEV,normdeltaEV,pstate1,pstate2,pstate3
56,2152,158487.0,90.0,42.0,0.0,0.55,3.0,24.0,0.0,0.0,0.0,ctrl,0.0,-24.0,-0.2054794520547945,0.02104030008618061,0.47638080204168537,0.5025788978721337
57,2152,158487.0,91.0,43.0,2.0,0.55,3.0,24.0,0.0,0.0,0.0,ctrl,0.0,-15.2,-0.13013698630136986,0.012801719394440907,0.3930921495671693,0.5941061310383916
58,2152,158487.0,92.0,44.0,8.0,0.55,3.0,0.0,1.0,0.0,0.0,ctrl,-1.0,11.200000000000003,0.09589041095890412,0.0028722707736538295,0.27987258711860896,0.7172551421077398
59,2152,158487.0,93.0,45.0,8.0,0.55,3.0,0.0,1.0,0.0,0.0,ctrl,-1.0,11.200000000000003,0.09589041095890412,0.0012705552053895027,0.22234405857552844,0.7763853862190836
60,2152,158487.0,94.0,46.0,4.0,0.55,3.0,24.0,0.0,0.0,0.0,ctrl,0.0,-6.399999999999999,-0.05479452054794519,0.0014639825627168546,0.19361296524666274,0.8049230521906182
61,2152,158487.0,95.0,47.0,16.0,0.55,3.0,128.0,1.0,1.0,0.0,ctrl,1.0,46.400000000000006,0.3972602739726028,0.0007722940575089102,0.1502714003304071,0.8489563056120847
62,2152,158487.0,96.0,48.0,32.0,0.55,3.0,0.0,1.0,0.0,0.0,ctrl,-1.0,116.80000000000001,1.0,0.0009490844135272248,0.10688903096958267,0.8921618846168932
63,2152,158487.0,99.0,3.0,0.0,0.55,3.0,0.0,1.0,1.0,0.0,ctrl,1.0,-24.0,-0.2054794520547945,0.000807768937480599,0.06423528589050684,0.9349569451720143
64,2152,158487.0,100.0,4.0,16.0,0.55,3.0,128.0,1.0,1.0,0.0,ctrl,1.0,46.400000000000006,0.3972602739726028,0.0004588717498831909,0.06336798080720472,0.9361731474429137
65,2152,158487.0,102.0,6.0,0.0,0.55,3.0,24.0,0.0,0.0,0.0,ctrl,0.0,-24.0,-0.2054794520547945,0.0005354543152071166,0.061970623574912405,0.9374939221098798
66,2152,158487.0,103.0,7.0,4.0,0.55,3.0,24.0,0.0,0.0,0.0,ctrl,0.0,-6.399999999999999,-0.05479452054794519,0.00045477064285015723,0.05936364935970931,0.9401815799974379
67,2152,158487.0,104.0,8.0,8.0,0.55,3.0,0.0,1.0,0.0,0.0,ctrl,-1.0,11.200000000000003,0.09589041095890412,0.0001669143663461192,0.05378774026303247,0.9460453453706236
68,2152,158487.0,105.0,9.0,16.0,0.55,3.0,128.0,1.0,1.0,0.0,ctrl,1.0,46.400000000000006,0.3972602739726028,0.00013302084480265746,0.05233306905194313,0.9475339101032514
69,2152,158487.0,110.0,14.0,32.0,0.55,3.0,256.0,1.0,1.0,0.0,ctrl,1.0,116.80000000000001,1.0,0.0002358922873583954,0.050592782051367954,0.9491713256612722
70,2152,158487.0,112.0,16.0,32.0,0.55,3.0,256.0,1.0,1.0,0.0,ctrl,1.0,116.80000000000001,1.0,0.0002606538666580893,0.04876136938302516,0.9509779767503135
